usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
3550;483;2010-12-30 18:07:08;3;RETIRO;2010-12-30 18:16:02;6;DERECHO;9
3690;414;2010-12-30 18:07:02;5;ADUANA;2010-12-30 18:19:37;7;PLAZA ROMA;13
2740;446;2010-12-30 18:06:02;5;ADUANA;2010-12-30 18:15:03;3;RETIRO;9
3441;428;2010-12-30 18:06:00;7;PLAZA ROMA;2010-12-30 18:25:17;6;DERECHO;19
3579;434;2010-12-30 18:03:41;7;PLAZA ROMA;2010-12-30 18:18:50;6;DERECHO;15
2424;443;2010-12-30 17:57:06;5;ADUANA;2010-12-30 19:31:31;5;ADUANA;94
3688;48;2010-12-30 17:56:29;5;ADUANA;2010-12-30 19:31:58;5;ADUANA;95
2727;361;2010-12-30 17:55:58;5;ADUANA;2010-12-30 18:23:51;3;RETIRO;28
3050;42;2010-12-30 17:53:48;5;ADUANA;2010-12-30 19:26:56;5;ADUANA;93
3689;349;2010-12-30 17:52:26;6;DERECHO;2010-12-30 19:44:44;6;DERECHO;112
