usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
1036;403;2010-12-30 19:39:03;6;DERECHO;2010-12-30 19:46:03;3;RETIRO;7
2722;443;2010-12-30 19:34:16;5;ADUANA;2010-12-30 19:47:03;3;RETIRO;13
1585;443;2010-12-30 19:10:21;7;PLAZA ROMA;2010-12-30 19:17:44;3;RETIRO;7
2623;403;2010-12-30 19:03:36;6;DERECHO;2010-12-30 19:29:22;5;ADUANA;26
2374;411;2010-12-30 19:02:34;5;ADUANA;2010-12-30 19:13:45;3;RETIRO;
33;370;2010-12-30 18:59:04;5;ADUANA;2010-12-30 19:01:14;7;PLAZA ROMA;2
2605;403;2010-12-30 18:58:19;5;ADUANA;2010-12-30 19:02:04;7;PLAZA ROMA;4
3329;210;2010-12-30 18:53:29;7;PLAZA ROMA;2010-12-30 18:57:23;3;RETIRO;4
3043;210;2010-12-30 18:41:52;7;PLAZA ROMA;2010-12-30 18:50:48;3;RETIRO;9
1728;429;2010-12-30 18:41:22;5;ADUANA;2010-12-30 18:59:52;3;RETIRO;19
